performer,main_artist_suggested
Andy Gibb & Olivia Newton-John,Andy Gibb
The Fireflies Featuring Ritchie Adams,The Fireflies
Soul Sisters,Soul Sisters
Count Basie,Count Basie
Kem,Kem
Steve & Eydie,Steve
Scotty Emerick With Toby Keith,Scotty Emerick
Edgar Winter's White Trash,Edgar Winter's White Trash
Sleepy Brown Featuring OutKast,Sleepy Brown
Milestone,Milestone
Ray Charles & The Raelets,Ray Charles
707,707
Biddu Orchestra,Biddu Orchestra
Ja Rule Featuring Lil' Mo,Ja Rule
Shakin' Stevens,Shakin' Stevens
Cherelle,Cherelle
Lisa Loeb,Lisa Loeb
Pages,Pages
2 Chainz Featuring Drake & Lil Wayne,2 Chainz
Lil Wayne Featuring Big Sean & Lil Baby,Lil Wayne
Toya,Toya
Apocalyptica Featuring Adam Gontier,Apocalyptica
Uncle Sam,Uncle Sam
Big Sean Featuring E-40,Big Sean
Michael Morales,Michael Morales
The Bluenotes,The Bluenotes
Ripple,Ripple
The Boomtown Rats,The Boomtown Rats
Jimmy Norman,Jimmy Norman
Usher Featuring Juicy J,Usher
Bourgeois Tagg,Bourgeois Tagg
The Teddy Bears,The Teddy Bears
Together? (Soundtrack) Featuring Jackie DeShannon,Together? (Soundtrack)
Joey Travolta,Joey Travolta
Innerlude,Innerlude
Mario Winans Featuring Enya & P. Diddy,Mario Winans
Texas,Texas
Glee Cast Featuring Idina Menzel,Glee Cast
Total Coelo,Total Coelo
The Weeknd Featuring Daft Punk,The Weeknd
Martika,Martika
Bobby Fuller Four,Bobby Fuller Four
The Party,The Party
Sly Stone,Sly Stone
Janet Featuring BLACKstreet,Janet
Tony Joe White,Tony Joe White
Gucci Mane Featuring Migos,Gucci Mane
Positive K,Positive K
Jesse Anderson,Jesse Anderson
Ollie & The Nightingales,Ollie
Lo-Key?,Lo-Key?
Billy Lee Riley,Billy Lee Riley
Gregory Abbott,Gregory Abbott
Master P Featuring Sons Of Funk,Master P
Carrie,Carrie
Razzy,Razzy
gnash Featuring Olivia O'Brien,gnash
Mavis Staples,Mavis Staples
Jon & Vangelis,Jon
Creedence Clearwater Revival Featuring John Fogerty,Creedence Clearwater Revival
The California Raisins,The California Raisins
Turley Richards,Turley Richards
Gabby Barrett Featuring Charlie Puth,Gabby Barrett
Carly Pearce & Lee Brice,Carly Pearce
Nature's Divine,Nature's Divine
Philly Devotions,Philly Devotions
Parker McGee,Parker McGee
The Lonely Island Featuring Akon,The Lonely Island
Jill Sobule,Jill Sobule
Nick Lowe And His Cowboy Outfit,Nick Lowe And His Cowboy Outfit
Michelle Chamuel,Michelle Chamuel
Dionne Farris,Dionne Farris
Barbara George,Barbara George
"""Pookie"" Hudson","Pookie"" Hudson"
Chee-Chee & Peppy,Chee-Chee
LOCASH,LOCASH
Frida,Frida
Shawn Mendes & Camila Cabello,Shawn Mendes
Busta Rhymes & Mariah Carey Featuring The Flipmode Squad,Busta Rhymes
Lil Skies Featuring Yung Pinch,Lil Skies
The Enchanters,The Enchanters
Men Without Hats,Men Without Hats
Montell Jordan Featuring Slick Rick,Montell Jordan
Enrique Iglesias Featuring Pitbull & The WAV.s,Enrique Iglesias
"Cardi B, Bad Bunny & J Balvin",Cardi B
Sammie,Sammie
Hot Chelle Rae Featuring New Boyz,Hot Chelle Rae
G Unit,G Unit
Reel 2 Real Featuring The Mad Stuntman,Reel 2 Real
Nolan,Nolan
Phyllis Nelson,Phyllis Nelson
Kanye West & Lil Pump,Kanye West
Susan Christie,Susan Christie
Donna Lewis,Donna Lewis
The Fuzz,The Fuzz
Dan Baird,Dan Baird
Bull Moose Jackson,Bull Moose Jackson
Jennifer Lopez Featuring French Montana,Jennifer Lopez
Young Jeezy,Young Jeezy
August Alsina Featuring Trinidad James,August Alsina
The Original,The Original
William Michael Morgan,William Michael Morgan
Chance The Rapper,Chance The Rapper
Master P Featuring Pimp C And The Shocker,Master P
Clean Bandit Featuring Julia Michaels,Clean Bandit
Klymaxx,Klymaxx
Monifah,Monifah
Dr. Dre Featuring Eminem & Skylar Grey,Dr. Dre
Hot Boys,Hot Boys
Marky Mark & The Funky Bunch,Marky Mark
Marc Anthony,Marc Anthony
Maurice White,Maurice White
Tim McGraw With Faith Hill,Tim McGraw
100 Strings and Jono (Choir of 40 Voices),100 Strings and Jono (Choir of 40 Voices)
Calvin Harris Featuring Ellie Goulding,Calvin Harris
"Shaggy Featuring Mohombi, Faydee, Costi",Shaggy
Roy Hamilton,Roy Hamilton
Teena Marie,Teena Marie
Orsa Lia,Orsa Lia
The Flamingos,The Flamingos
The Tourists,The Tourists
Sparks,Sparks
Annie Lennox,Annie Lennox
A Flock Of Seagulls,A Flock Of Seagulls
Little Esther Phillips,Little Esther Phillips
The Stereos,The Stereos
Delbert & Glen,Delbert
Boys Club,Boys Club
PMD,PMD
Yaki-Da,Yaki-Da
Glen Campbell/Anne Murray,Glen Campbell/Anne Murray
J'Son,J'Son
Body Head Bangerz Featuring YoungBloodz,Body Head Bangerz
The Blue-Belles,The Blue-Belles
Jamo Thomas & His Party Brothers Orchestra,Jamo Thomas
The Glories,The Glories
Brenda K. Starr,Brenda K. Starr
Joni James,Joni James
Richie Furay,Richie Furay
The Vejtables,The Vejtables
Len Barry,Len Barry
Arlan Day,Arlan Day
Edmundo Ros and His Orchestra,Edmundo Ros and His Orchestra
Donny Hathaway And June Conquest,Donny Hathaway And June Conquest
Buddy Knox,Buddy Knox
The Rubinoos,The Rubinoos
Axe,Axe
Carrie Underwood Featuring Randy Travis,Carrie Underwood
Bone Thugs-N-Harmony Featuring Akon,Bone Thugs-N-Harmony
Macy Gray,Macy Gray
Willa Ford,Willa Ford
House Of Lords,House Of Lords
Disco Tex & The Sex-O-Letters,Disco Tex
Louie Louie,Louie Louie
Billy Satellite,Billy Satellite
Tony Thompson,Tony Thompson
Akon Featuring Snoop Dogg,Akon
The Cryan' Shames,The Cryan' Shames
Twisted Sister,Twisted Sister
Hunter Hayes,Hunter Hayes
The Tommy Dorsey Orchestra Starring Warren Covington,The Tommy Dorsey Orchestra Starring Warren Covington
Terry McDermott,Terry McDermott
Josh Gracin,Josh Gracin
The Royalettes,The Royalettes
Juliet Roberts,Juliet Roberts
Shana,Shana
Kayak,Kayak
Ellie Greenwich,Ellie Greenwich
Zedd Featuring Selena Gomez,Zedd
Don Covay,Don Covay
Agnetha Faltskog/Peter Cetera,Agnetha Faltskog/Peter Cetera
Liquid Smoke,Liquid Smoke
Hanson,Hanson
Lara Fabian,Lara Fabian
Stonebolt,Stonebolt
Skee-Lo,Skee-Lo
Riley Green,Riley Green
Future Featuring Kanye West,Future
Blake Shelton & Dia Frampton,Blake Shelton
TKA,TKA
The Pentagons,The Pentagons
Barry & The Tamerlanes,Barry
Curtis Stigers,Curtis Stigers
Alan Parsons,Alan Parsons
The South Side Movement,The South Side Movement
Meat Loaf,Meat Loaf
Barrett Baber,Barrett Baber
The Hillside Singers,The Hillside Singers
Joshua Radin,Joshua Radin
Foxy Brown Featuring Jay-Z,Foxy Brown
Rappin' 4-Tay Featuring The Spinners,Rappin' 4-Tay
What Is This,What Is This
Rene & Angela,Rene
Quincy Jones Featuring Ray Charles & Chaka Khan,Quincy Jones
Josh Groban,Josh Groban
Puff Daddy & Faith Evans Featuring 112,Puff Daddy
Damita Jo,Damita Jo
The Rembrandts,The Rembrandts
Youngstown,Youngstown
Toussaint McCall,Toussaint McCall
Whatnauts,Whatnauts
Claude Gray,Claude Gray
Burt Bacharach,Burt Bacharach
Johnnie Ray,Johnnie Ray
Steelheart,Steelheart
Dr. Buzzard's Original Savannah Band,Dr. Buzzard's Original Savannah Band
Giant,Giant
"The Corsairs Featuring Jay ""Bird"" Uzzell",The Corsairs
BeBe & CeCe Winans Featuring Mavis Staples,BeBe
General Public,General Public
Terry Stafford,Terry Stafford
R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),R. Kelly Or Bow Wow (
Joe Barry,Joe Barry
The Jive Five,The Jive Five
Leroy Pullins,Leroy Pullins
Steve Wariner,Steve Wariner
Missy Elliott Featuring Lamb,Missy Elliott
New York City,New York City
Santana Featuring Michelle Branch & The Wreckers,Santana
T.I. Featuring Big K.R.I.T.,T.I.
Howard Hewett,Howard Hewett
The Proclaimers,The Proclaimers
Jennifer Lopez Featuring Nas,Jennifer Lopez
Bizarre Inc,Bizarre Inc
The Intrigues,The Intrigues
Diana Ross And The Supremes & The Temptations,Diana Ross And The Supremes
Madeline Bell,Madeline Bell
LMFAO,LMFAO
The Chimes,The Chimes
Earl-Jean,Earl-Jean
Matt Lucas,Matt Lucas
The Brat Pack,The Brat Pack
The Gregg Allman Band,The Gregg Allman Band
Nancy Brooks,Nancy Brooks
Tommy Conwell And The Young Rumblers,Tommy Conwell And The Young Rumblers
"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",DJ Khaled
Ciara Featuring Nicki Minaj,Ciara
Nona Gaye,Nona Gaye
Cherie,Cherie
The San Remo Golden Strings,The San Remo Golden Strings
Toby Keith With Sting,Toby Keith
Akon Featuring Lil Wayne & Young Jeezy,Akon
Lauv & Troye Sivan,Lauv
T-Pain,T-Pain
"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",DJ Khaled
Paul Wall Featuring Jermaine Dupri,Paul Wall
Lil Peep & iLoveMakonnen Featuring Fall Out Boy,Lil Peep
Guys Next Door,Guys Next Door
Billy Storm,Billy Storm
The Free Movement,The Free Movement
The Storm,The Storm
George & Gene,George
Young Hearts,Young Hearts
Jackie Ross,Jackie Ross
Steam,Steam
Kelly Rowland Featuring Lil Wayne,Kelly Rowland
Dorrough,Dorrough
The Dynamics,The Dynamics
The Status Quo,The Status Quo
Another Bad Creation,Another Bad Creation
Leroy Van Dyke,Leroy Van Dyke
"Master P Featuring Steady Mobb'n, Mia X, Mo B. Dick & O'Dell",Master P
The 8th Day,The 8th Day
Kitty Kallen,Kitty Kallen
David Lasley,David Lasley
Maroon 5 Featuring Rihanna,Maroon 5
Nick DeCaro,Nick DeCaro
Ozark Mountain Daredevils,Ozark Mountain Daredevils
Kingofthehill,Kingofthehill
Johnny Cash & June Carter,Johnny Cash
Bobby Wood,Bobby Wood
"Richard ""Dimples"" Fields","Richard ""Dimples"" Fields"
Kellee Patterson,Kellee Patterson
Ian Lloyd & Stories,Ian Lloyd
Ray Charles & Jimmy Lewis,Ray Charles
Friend And Lover,Friend And Lover
Patti LaBelle,Patti LaBelle
Leslie Pearl,Leslie Pearl
The Precisions,The Precisions
Suga Free,Suga Free
The U-Krew,The U-Krew
Timbaland Featuring Katy Perry,Timbaland
The Tee Set,The Tee Set
Pusha T,Pusha T
Jaya,Jaya
Chris Thompson & Night,Chris Thompson
Nielsen/Pearson,Nielsen/Pearson
The Lox,The Lox
K-Ci Hailey,K-Ci Hailey
Jimmy Soul,Jimmy Soul
Marcos Hernandez,Marcos Hernandez
Riff,Riff
Musiq Soulchild Featuring Mary J. Blige,Musiq Soulchild
Stonewall Jackson,Stonewall Jackson
Bad Bunny & Sech,Bad Bunny
The Belle Stars,The Belle Stars
"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",Meek Mill
Hank Levine And Orchestra,Hank Levine And Orchestra
Safaris with The Phantom's Band,Safaris
Tracie Spencer,Tracie Spencer
DAY26 Featuring P. Diddy & Yung Joc,DAY26
Graham Nash & David Crosby,Graham Nash
Shontelle,Shontelle
Python Lee Jackson,Python Lee Jackson
Bill Wyman,Bill Wyman
The Timetones,The Timetones
Sagittarius,Sagittarius
Flo Rida Featuring will.i.am,Flo Rida
Musique,Musique
Dev,Dev
Cross Country,Cross Country
The Mirettes,The Mirettes
Henhouse Five Plus Too,Henhouse Five Plus Too
Martin Garrix & Bebe Rexha,Martin Garrix
Zager & Evans,Zager
Sisqo,Sisqo
Webbie Featuring Lil' Phat & Lil' Boosie,Webbie
Elvis Presley With The Jordanaires and The Imperials Quartet,Elvis Presley
Jamie Foxx,Jamie Foxx
The Kids Next Door,The Kids Next Door
Darren Hayes,Darren Hayes
Minnie Riperton,Minnie Riperton
Faithless,Faithless
John Ono Lennon,John Ono Lennon
"Kendrick Lamar Featuring Bilal, Anna Wise & Snoop Dogg",Kendrick Lamar
Justin Bieber Featuring Quavo,Justin Bieber
Idina Menzel & AURORA,Idina Menzel
Fabolous Featuring Tamia Or Ashanti,Fabolous
The Lemonheads,The Lemonheads
Clay Aiken,Clay Aiken
The Ray Conniff Singers,The Ray Conniff Singers
Phoebe & Maggie,Phoebe
Black Sabbath,Black Sabbath
K'Naan Featuring Nelly Furtado,K'Naan
J.J. Fad,J.J. Fad
Joyner Lucas Featuring Logic,Joyner Lucas
Troy Shondell,Troy Shondell
Stark & McBrien,Stark
Julia Michaels,Julia Michaels
Tom Powers,Tom Powers
Shirley Brown,Shirley Brown
Sami Jo,Sami Jo
Nappy Brown,Nappy Brown
Sonique,Sonique
Andrea Carroll,Andrea Carroll
Melanie Fiona,Melanie Fiona
Felice Taylor,Felice Taylor
Alton McClain & Destiny,Alton McClain
Robin S.,Robin S.
Dawn Featuring Tony Orlando,Dawn
Yvonne Fair,Yvonne Fair
Marvin Gaye & Kim Weston,Marvin Gaye
Rob Base & D.J. E-Z Rock,Rob Base
Ice Cube,Ice Cube
"Shaggy Featuring Ricardo ""RikRok"" Ducent",Shaggy
The Showmen,The Showmen
Mac McAnally,Mac McAnally
The Peanut Butter Conspiracy,The Peanut Butter Conspiracy
G.L. Crockett,G.L. Crockett
Juliet Simms,Juliet Simms
Busta Rhymes Featuring Zhane,Busta Rhymes
Monie Love Featuring True Image,Monie Love
The Dillards,The Dillards
Mya & Sisqo,Mya
Casinos,Casinos
Queen Latifah,Queen Latifah
Jake Paul Featuring Team 10,Jake Paul
Alan Jackson & Jimmy Buffett,Alan Jackson
Yung Joc,Yung Joc
Charlie,Charlie
Randy Newman,Randy Newman
Talk Talk,Talk Talk
Dave Stewart and Barbara Gaskin,Dave Stewart and Barbara Gaskin
Marva Whitney,Marva Whitney
Geoffrey Williams,Geoffrey Williams
The Will-O-Bees,The Will-O-Bees
The Game Featuring Junior Reid,The Game
The Kalin Twins,The Kalin Twins
Supertramp Featuring Roger Hodgson,Supertramp
The Weather Girls,The Weather Girls
The Tarney/Spencer Band,The Tarney/Spencer Band
The Electric Express,The Electric Express
The Courtship,The Courtship
The Larks,The Larks
Ali Gatie,Ali Gatie
Johnny Gill Featuring Roger Troutman,Johnny Gill
Francesca Battistelli,Francesca Battistelli
The Magic Mushrooms,The Magic Mushrooms
Small Faces,Small Faces
RiceGum Featuring Alissa Violet,RiceGum
Bob Seger System,Bob Seger System
Raydio,Raydio
3 Man Island,3 Man Island
A R Rahman & The Pussycat Dolls Featuring Nicole Scherzinger,A R Rahman
Newcleus,Newcleus
Bobby Comstock And The Counts,Bobby Comstock And The Counts
Naughty By Nature Featuring Zhane,Naughty By Nature
Jon Astley,Jon Astley
Famous Dex,Famous Dex
Jane Birkin Serge Gainsbourg,Jane Birkin Serge Gainsbourg
Gene Loves Jezebel,Gene Loves Jezebel
The Fontane Sisters,The Fontane Sisters
Garland Green,Garland Green
Kim Sanders,Kim Sanders
Kitty Wells,Kitty Wells
Lemon Pipers,Lemon Pipers
CRUSH,CRUSH
The Smothers Brothers,The Smothers Brothers
Jake Paul & Erika Costell Featuring Uncle Kade,Jake Paul
Caesars,Caesars
Tory Lanez & T-Pain,Tory Lanez
Julian Lennon,Julian Lennon
Kris Kristofferson,Kris Kristofferson
Future & Juice WRLD Featuring Young Scooter,Future
Jay-Z Featuring Big Jaz,Jay-Z
Black Oak Arkansas,Black Oak Arkansas
Frankie Calen,Frankie Calen
Jermaine Stewart,Jermaine Stewart
Anita & Th' So-And-So's,Anita
Bill Haley And His Comets,Bill Haley And His Comets
B.o.B Featuring Priscilla,B.o.B
Public Announcement Featuring LeLe,Public Announcement
Heidi Newfield,Heidi Newfield
Shelley Fabares,Shelley Fabares
Johnny Winter,Johnny Winter
Peter Tosh,Peter Tosh
Joanie Sommers,Joanie Sommers
Elephant Man,Elephant Man
The Amboy Dukes,The Amboy Dukes
Apollo featuring Tom Parker,Apollo
Dazz Band,Dazz Band
The Peels,The Peels
Frankie Vaughan,Frankie Vaughan
Fetty Wap Featuring Monty,Fetty Wap
Doja Cat & Tyga,Doja Cat
Zay Hilfigerrr & Zayion McCall,Zay Hilfigerrr
Nino & The Ebb Tides,Nino
Noah Cyrus & Leon Bridges,Noah Cyrus
Flo Rida Featuring Nelly Furtado,Flo Rida
House Of Pain,House Of Pain
Jordan Pruitt,Jordan Pruitt
Jamie N Commons & X Ambassadors,Jamie N Commons
C+C Music Factory Presents Zelma Davis,C
CRU Featuring Slick Rick,CRU
Oingo Boingo,Oingo Boingo
Bertie Higgins,Bertie Higgins
Ian Hunter,Ian Hunter
Independents,Independents
The S.O.S. Band,The S.O.S. Band
"Silkk The Shocker Featuring Master P, Destiny's Child, O'Dell, Mo",Silkk The Shocker
Jane's Addiction,Jane's Addiction
The McGuire Sisters,The McGuire Sisters
Lou Gramm,Lou Gramm
WC From Westside Connection,WC From Westside Connection
Ray Kennedy,Ray Kennedy
Jamie Foxx Featuring T.I.,Jamie Foxx
Larry John McNally,Larry John McNally
Doris Troy,Doris Troy
The Headpins,The Headpins
The Click Five,The Click Five
"Grover Washington, Jr. (With Bill Withers)",Grover Washington
Parmalee x Blanco Brown,Parmalee
Tasha Holiday,Tasha Holiday
Randy Vanwarmer,Randy Vanwarmer
Siedah Garrett,Siedah Garrett
6ix9ine Featuring Tory Lanez,6ix9ine
Jerryo,Jerryo
B.E. Taylor Group,B.E. Taylor Group
Lloyd Banks Featuring Avant,Lloyd Banks
Queen Naija,Queen Naija
The Electric Indian,The Electric Indian
Single Bullet Theory,Single Bullet Theory
Gary's Gang,Gary's Gang
Austin Roberts,Austin Roberts
MC Lyte Featuring Xscape,MC Lyte
Empire Cast Featuring Jussie Smollett,Empire Cast
Zombie Nation,Zombie Nation
YFN Lucci Featuring Migos & Trouble,YFN Lucci
MC5,MC5
Round Robin,Round Robin
MGMT,MGMT
Eric Church Featuring Rhiannon Giddens,Eric Church
Cherish Featuring Yung Joc,Cherish
The Rocky Fellers,The Rocky Fellers
Fred Knoblock & Susan Anton,Fred Knoblock
Jibbs Featuring Chamillionaire,Jibbs
The Jimmy Castor Bunch,The Jimmy Castor Bunch
Beenie Man,Beenie Man
Rick Pinette & Oak,Rick Pinette
Steve Martin And The Toot Uncommons,Steve Martin And The Toot Uncommons
Matisyahu,Matisyahu
Eminem Featuring Gwen Stefani,Eminem
The Breakfast Club,The Breakfast Club
Doja Cat Featuring SZA,Doja Cat
Diane Renay,Diane Renay
Eight Seconds,Eight Seconds
Digital Underground,Digital Underground
Total,Total
69 Boyz,69 Boyz
Zac Brown Band Featuring Jimmy Buffett,Zac Brown Band
"Knoc-Turn'Al With Dr. Dre & Missy ""Misdemeanor"" Elliott",Knoc-Turn'Al
Amii Stewart,Amii Stewart
Candyman,Candyman
6LACK Featuring Lil Baby,6LACK
"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo",Major Lazer
Sister 7,Sister 7
Edward Byrnes & Connie Stevens,Edward Byrnes
Tommy Leonetti,Tommy Leonetti
Dr. Dre Featuring Snoop Dogg & Akon,Dr. Dre
Michele Lee,Michele Lee
Susan Raye,Susan Raye
Beth Hart,Beth Hart
Jerry Jeff Walker,Jerry Jeff Walker
DaBaby Featuring Future & jetsonmade,DaBaby
Trey Songz Featuring Gucci Mane & Soulja Boy Tell'em,Trey Songz
Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,Nio Garcia
Auburn Featuring Iyaz,Auburn
Naughty Boy Featuring Sam Smith,Naughty Boy
Bobby Ross Avila,Bobby Ross Avila
Frank DeVol And His Rainbow Strings,Frank DeVol And His Rainbow Strings
Bad Bunny & ROSALIA,Bad Bunny
Kid Frost,Kid Frost
Sad Cafe,Sad Cafe
The Klowns,The Klowns
James,James
Cannibal And The Headhunters,Cannibal And The Headhunters
Thee Midniters,Thee Midniters
Onyx,Onyx
Wednesday,Wednesday
Diddy Featuring Keyshia Cole,Diddy
Mar-Keys,Mar-Keys
Lostprophets,Lostprophets
Divine,Divine
Lighter Shade Of Brown Featuring Teardrop & Shiro,Lighter Shade Of Brown
The Velvets featuring Virgil Johnson,The Velvets
Sonny,Sonny
The Graces,The Graces
Lil Uzi Vert Featuring NAV,Lil Uzi Vert
Down A.K.A. Kilo,Down A.K.A. Kilo
"Kirk Franklin Featuring Mary J. Blige, Bono, R. Kelly, Crystal Lewis & The Family",Kirk Franklin
Kesha,Kesha
Dicky Doo And The Don'ts,Dicky Doo And The Don'ts
Silk Sonic (Bruno Mars & Anderson .Paak),Silk Sonic (Bruno Mars
The Tony Rich Project,The Tony Rich Project
D'Angelo Featuring Method Man And Redman,D'Angelo
Offset Featuring Travis Scott & 21 Savage,Offset
Imani Coppola,Imani Coppola
Usher Featuring Rick Ross,Usher
N*E*R*D & Rihanna,N*E*R*D
Drake Featuring Rick Ross,Drake
Internet Money & Gunna Featuring Don Toliver & NAV,Internet Money
Tessanne Chin & Adam Levine,Tessanne Chin
Betty Everett & Jerry Butler,Betty Everett
Glen Campbell & Bobbie Gentry,Glen Campbell
Lil Wayne Featuring Travis Scott,Lil Wayne
DJ Khaled Featuring Justin Bieber & 21 Savage,DJ Khaled
James Bay,James Bay
Keyshia Cole Featuring Missy Elliott & Lil Kim,Keyshia Cole
Wiz Khalifa Featuring Akon,Wiz Khalifa
Dave Mason,Dave Mason
The Hombres,The Hombres
DJ Kool,DJ Kool
Alec Benjamin Featuring Alessia Cara,Alec Benjamin
Avril Lavigne Featuring Chad Kroeger,Avril Lavigne
Nicolette Larson & Michael McDonald,Nicolette Larson
The Sensations,The Sensations
DJ Snake Featuring Justin Bieber,DJ Snake
Cugini,Cugini
The Call,The Call
Shirley & Lee,Shirley
Long John Baldry,Long John Baldry
BRAVO All Stars,BRAVO All Stars
Billy Dean,Billy Dean
Ashley Parker Angel,Ashley Parker Angel
Philadelphia International All Stars,Philadelphia International All Stars
Redman Featuring DJ Kool,Redman
Bow Wow Featuring Baby,Bow Wow
"Three The... G. Dep, P. Diddy & Black Rob",Three The... G. Dep
Shabba Ranks,Shabba Ranks
Average White Band,Average White Band
Nile Rodgers,Nile Rodgers
The Three G's,The Three G's
Dick Dale and The Del-Tones,Dick Dale and The Del-Tones
Cazz,Cazz
Faith Hill With Tim McGraw,Faith Hill
Freddy Cannon & The Belmonts,Freddy Cannon
Montell Jordan Feat. Master P & Silkk The Shocker,Montell Jordan
Ellison Chase,Ellison Chase
Bobby Comstock,Bobby Comstock
Hadouken!,Hadouken!
Profyle,Profyle
The Castaways,The Castaways
Roula,Roula
Haddaway,Haddaway
Climax featuring Sonny Geraci,Climax
Sugarland Featuring Little Big Town & Jake Owen,Sugarland
The Dream Academy,The Dream Academy
Mono,Mono
Tom Cochrane,Tom Cochrane
Reunion,Reunion
Juice WRLD X Halsey,Juice WRLD
"Juice WRLD, Clever & Post Malone",Juice WRLD
Jason Derulo Featuring Adam Levine,Jason Derulo
Lil' Kim,Lil' Kim
Mr. Cheeks,Mr. Cheeks
Noel,Noel
David Banner Featuring Lil' Flip,David Banner
Corinne Bailey Rae,Corinne Bailey Rae
Lana Cantrell,Lana Cantrell
Scott McKenzie,Scott McKenzie
For Real,For Real
Kelly Rowland Featuring Eve,Kelly Rowland
Mims,Mims
Andre Previn With David Rose,Andre Previn
Nelly & Florida Georgia Line,Nelly
Genius/GZA,Genius/GZA
Brian Auger & The Trinity,Brian Auger
D.H.T.,D.H.T.
Leapy Lee,Leapy Lee
James Gilreath,James Gilreath
Chase Bryant,Chase Bryant
White Lion,White Lion
The Hondells,The Hondells
Ashlee Simpson With Tom Higgenson,Ashlee Simpson
Joe Dowell,Joe Dowell
Queens Of The Stone Age,Queens Of The Stone Age
Tesla,Tesla
The Toy Dolls,The Toy Dolls
Meek Mill Featuring Tory Lanez,Meek Mill
Ali Thomson,Ali Thomson
Opus,Opus
Gardner Cole,Gardner Cole
Far*East Movement Featuring Justin Bieber,Far*East Movement
Boy George,Boy George
Lil Baby Featuring Future,Lil Baby
T.I. Featuring Rihanna,T.I.
Caron Wheeler,Caron Wheeler
Ja Rule Featuring Case,Ja Rule
Bell & James,Bell
Ricky Martin,Ricky Martin
Cliff Richard and The Drifters,Cliff Richard and The Drifters
David Hill,David Hill
Living In A Box,Living In A Box
Baltimora,Baltimora
Anais,Anais
Billie Eilish & ROSALIA,Billie Eilish
Shakira Featuring Dizzee Rascal,Shakira
Akon Featuring Styles P.,Akon
"DJ Snake, J. Balvin & Tyga",DJ Snake
Lil Wayne Featuring Static Major,Lil Wayne
Justin Bieber & benny blanco,Justin Bieber
Pieces Of Eight,Pieces Of Eight
Blake Shelton Featuring Ashley Monroe,Blake Shelton
Florraine Darlin,Florraine Darlin
Little Jimmy Osmond with The Mike Curb Congregation,Little Jimmy Osmond
Wendy Waldman,Wendy Waldman
Murry Kellum,Murry Kellum
Britny Fox,Britny Fox
Chris Brown Featuring Lil Wayne & Busta Rhymes,Chris Brown
Deane Hawley,Deane Hawley
Garry Miles,Garry Miles
Ashton Shepherd,Ashton Shepherd
Ray Conniff And The Singers,Ray Conniff And The Singers
Missy Elliott Featuring Ciara & Fat Man Scoop,Missy Elliott
Young Jeezy Featuring Plies,Young Jeezy
Kygo & OneRepublic,Kygo
Gesaffelstein & The Weeknd,Gesaffelstein
Garth Brooks as Chris Gaines,Garth Brooks as Chris Gaines
John Paul Young,John Paul Young
H.B. Barnum,H.B. Barnum
Jay-Z Featuring Chrisette Michele,Jay-Z
Chris Jamison & Adam Levine,Chris Jamison
Coldplay With Jay-Z,Coldplay
Wale Featuring Miguel,Wale
Mike Kennedy,Mike Kennedy
Arpeggio,Arpeggio
Greg Kihn,Greg Kihn
Mary J. Blige Featuring Method Man,Mary J. Blige
Stage Dolls,Stage Dolls
Sandee,Sandee
Troy Keyes,Troy Keyes
Arthur Lyman Group,Arthur Lyman Group
Cerrone,Cerrone
Laban,Laban
The Vibrations,The Vibrations
James Phelps,James Phelps
"The Checkmates, Ltd.",The Checkmates
MFSB Featuring The Three Degrees,MFSB
Saverio Saridis,Saverio Saridis
Brighter Side Of Darkness,Brighter Side Of Darkness
Khalid & Normani,Khalid
Yutaka,Yutaka
Odds & Ends,Odds
Lil Wayne Featuring Drake & Future,Lil Wayne
John Newman,John Newman
Ariana Grande & The Weeknd,Ariana Grande
Karen Nelson And Billy T,Karen Nelson And Billy T
Lady Sovereign,Lady Sovereign
Angel City Featuring Lara McAllen,Angel City
Blackjack,Blackjack
Chris Brown Featuring Nicki Minaj,Chris Brown
Hailee Steinfeld,Hailee Steinfeld
Sammy Kershaw,Sammy Kershaw
Desmond Child,Desmond Child
The Clovers,The Clovers
Kelly Price & Friends,Kelly Price
Ciara Featuring Justin Timberlake,Ciara
311,311
Eminem Featuring Rihanna,Eminem
Carlo Savina,Carlo Savina
Sunscreem,Sunscreem
Otis Leaville,Otis Leaville
INOJ/LATHUN,INOJ/LATHUN
Ron Holden with The Thunderbirds,Ron Holden
Cochise,Cochise
Kendrick Lamar Featuring Zacari,Kendrick Lamar
Wale Featuring Sam Dew,Wale
Rihanna Featuring Future,Rihanna
Billie Eilish & Khalid,Billie Eilish
The Blue Jays,The Blue Jays
Karen Kamon,Karen Kamon
Mariah Carey Featuring Cameo,Mariah Carey
Gale Garnett,Gale Garnett
The Dillman Band,The Dillman Band
Darden Smith,Darden Smith
Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,Chris Brown
Camp Lo,Camp Lo
Eye To Eye,Eye To Eye
Suzanne Vega,Suzanne Vega
Shawn Mullins,Shawn Mullins
