performer,main_artist_suggested
Lil Baby,Lil Baby
Barbra Streisand,Barbra Streisand
Fifth Harmony Featuring Fetty Wap,Fifth Harmony
Maxine Brown,Maxine Brown
Gretchen Wilson,Gretchen Wilson
Miranda Lambert,Miranda Lambert
Kanye West,Kanye West
Queen Pen Featuring Eric Williams,Queen Pen
The Hollyridge Strings,The Hollyridge Strings
Faith Evans Featuring Puff Daddy,Faith Evans
The Invisible Man's Band,The Invisible Man's Band
Laura Branigan,Laura Branigan
Entouch Featuring Keith Sweat,Entouch
9.9,9.9
Changing Faces (Featuring Jay-Z),Changing Faces (
Lesley Gore,Lesley Gore
Bobby Caldwell,Bobby Caldwell
Devin Dawson,Devin Dawson
Patti LaBelle And The Blue Belles,Patti LaBelle And The Blue Belles
Eddie Schwartz,Eddie Schwartz
Josh Turner,Josh Turner
Donny Most,Donny Most
Don Henley,Don Henley
John Travolta,John Travolta
Kid Rock,Kid Rock
The Rock Heroes,The Rock Heroes
The Cover Girls,The Cover Girls
Ace Of Base,Ace Of Base
The Firm,The Firm
Whitney Houston,Whitney Houston
Roscoe Dash Featuring Soulja Boy Tell'em,Roscoe Dash
King Von Featuring Lil Durk,King Von
The Uniques,The Uniques
The Killers,The Killers
Debarge,Debarge
Sting,Sting
Tiffany,Tiffany
Glenn Frey,Glenn Frey
George Harrison,George Harrison
Cyndi Lauper,Cyndi Lauper
Tone-Loc,Tone-Loc
Jon Bellion,Jon Bellion
Alexander O'Neal,Alexander O'Neal
The Chainsmokers Featuring Phoebe Ryan,The Chainsmokers
Big Sean Featuring Kanye West,Big Sean
Dante and the Evergreens,Dante and the Evergreens
The Dyna-Sores,The Dyna-Sores
Lou Donaldson,Lou Donaldson
Brandy,Brandy
Chuck Berry,Chuck Berry
Mary Chapin Carpenter,Mary Chapin Carpenter
Ariana Grande & Nathan Sykes,Ariana Grande
Lin-Manuel Miranda Featuring Artists For Puerto Rico,Lin-Manuel Miranda
Jordan Davis,Jordan Davis
Sheena Easton,Sheena Easton
Mike Reno And Ann Wilson,Mike Reno And Ann Wilson
David Houston,David Houston
Ben Colder,Ben Colder
Dave Edmunds,Dave Edmunds
Roxette,Roxette
Glee Cast Featuring Kristin Chenoweth,Glee Cast
Jake Owen,Jake Owen
Parmalee,Parmalee
Eagles,Eagles
